id,first_name,last_name,email,state,verified
51,Skyler,Anderson,skyler.anderson4041@scopely.dev,Alaska,1
52,Riley,Wilson,riley.wilson8831@gamehub.io,Arizona,1
53,Taylor,Martinez,taylor.martinez9578@playverse.net,Washington,0
54,Morgan,Johnson,morgan.johnson9561@playverse.net,Kentucky,1
55,Jordan,Hernandez,jordan.hernandez5931@mail.com,Ohio,1
56,Casey,Rodriguez,casey.rodriguez2267@scopely.dev,New Mexico,1
57,Jordan,Gonzalez,jordan.gonzalez8086@example.com,New Mexico,1
58,Riley,Garcia,riley.garcia772@example.com,New Mexico,0
59,Casey,Wilson,casey.wilson2505@mail.com,Kansas,0
60,Morgan,Williams,morgan.williams6917@scopely.dev,South Dakota,0
61,Riley,Rodriguez,riley.rodriguez1041@playverse.net,Tennessee,1
62,Sam,Rodriguez,sam.rodriguez6253@scopely.dev,Ohio,0
63,Taylor,Garcia,taylor.garcia7669@scopely.dev,South Dakota,0
64,Morgan,Gonzalez,morgan.gonzalez4120@scopely.dev,Arkansas,1
65,Skyler,Martinez,skyler.martinez189@example.com,Arkansas,1
66,Quinn,Garcia,quinn.garcia8798@gamehub.io,New Hampshire,1
67,Sam,Davis,sam.davis5574@example.com,South Dakota,1
68,Avery,Davis,avery.davis4809@playverse.net,Kentucky,1
69,Morgan,Anderson,morgan.anderson2592@playverse.net,Nevada,0
70,Avery,Garcia,avery.garcia54@gamehub.io,Alabama,1
71,Casey,Miller,casey.miller8202@mail.com,West Virginia,1
72,Sam,Brown,sam.brown8318@example.com,Ohio,1
73,Taylor,Smith,taylor.smith4890@scopely.dev,Louisiana,1
74,Skyler,Brown,skyler.brown9978@mail.com,West Virginia,1
75,Elliot,Davis,elliot.davis2505@gamehub.io,Arkansas,1
76,Skyler,Lopez,skyler.lopez2647@scopely.dev,Massachusetts,1
77,Riley,Gonzalez,riley.gonzalez8690@example.com,Arizona,1
78,Skyler,Davis,skyler.davis9814@gamehub.io,Kentucky,1
79,Rowan,Wilson,rowan.wilson8006@example.com,Florida,1
80,Drew,Johnson,drew.johnson1833@gamehub.io,Kentucky,1
81,Elliot,Anderson,elliot.anderson5039@mail.com,Washington,1
82,Jordan,Miller,jordan.miller950@mail.com,Maryland,0
83,Quinn,Gonzalez,quinn.gonzalez9296@example.com,Kentucky,1
84,Alex,Smith,alex.smith1404@playverse.net,Ohio,1
85,Taylor,Johnson,taylor.johnson1134@scopely.dev,Ohio,1
86,Sam,Wilson,sam.wilson2061@mail.com,West Virginia,1
87,Drew,Davis,drew.davis7788@scopely.dev,Nevada,1
88,Taylor,Hernandez,taylor.hernandez2706@gamehub.io,Ohio,1
89,Sam,Martinez,sam.martinez8646@scopely.dev,Louisiana,1
90,Quinn,Anderson,quinn.anderson6933@mail.com,Delaware,0
91,Jamie,Gonzalez,jamie.gonzalez8836@mail.com,Maryland,0
92,Jamie,Gonzalez,jamie.gonzalez5108@playverse.net,Maryland,1
93,Avery,Brown,avery.brown6119@playverse.net,Maryland,1
94,Taylor,Wilson,taylor.wilson8480@playverse.net,Ohio,0
95,Jamie,Williams,jamie.williams1983@mail.com,Maine,1
96,Rowan,Wilson,rowan.wilson3682@example.com,Washington,1
97,Elliot,Johnson,elliot.johnson5540@example.com,West Virginia,1
98,Sam,Hernandez,sam.hernandez9639@scopely.dev,Mississippi,0
99,Avery,Garcia,avery.garcia3771@scopely.dev,New Hampshire,1
100,Skyler,Brown,skyler.brown3609@example.com,Maine,0
101,Sam,Williams,sam.williams1164@example.com,Louisiana,1
102,Avery,Williams,avery.williams3751@example.com,West Virginia,1
103,Quinn,Martinez,quinn.martinez515@gamehub.io,Arizona,1
104,Taylor,Williams,taylor.williams1161@scopely.dev,Maine,1
105,Quinn,Lopez,quinn.lopez3900@gamehub.io,Arkansas,1
106,Elliot,Davis,elliot.davis7954@mail.com,Ohio,0
107,Elliot,Rodriguez,elliot.rodriguez8835@mail.com,Delaware,1
108,Drew,Rodriguez,drew.rodriguez9356@scopely.dev,South Dakota,1
109,Quinn,Jones,quinn.jones7745@mail.com,Louisiana,1
110,Riley,Smith,riley.smith7750@playverse.net,Tennessee,1
111,Skyler,Martinez,skyler.martinez3120@example.com,West Virginia,1
112,Morgan,Jones,morgan.jones1589@playverse.net,Ohio,0
113,Quinn,Smith,quinn.smith5805@playverse.net,Ohio,0
114,Drew,Rodriguez,drew.rodriguez6736@playverse.net,Arkansas,0
115,Casey,Gonzalez,casey.gonzalez888@example.com,Texas,1
116,Rowan,Martinez,rowan.martinez994@playverse.net,Ohio,1
117,Sam,Gonzalez,sam.gonzalez5560@example.com,Indiana,1
118,Elliot,Anderson,elliot.anderson4074@mail.com,Massachusetts,1
119,Casey,Davis,casey.davis3117@scopely.dev,Arkansas,1
120,Drew,Miller,drew.miller7351@mail.com,Ohio,1
121,Avery,Johnson,avery.johnson6913@mail.com,Arkansas,1
122,Morgan,Johnson,morgan.johnson4564@playverse.net,Ohio,1
123,Skyler,Wilson,skyler.wilson4093@example.com,Ohio,1
124,Skyler,Brown,skyler.brown7261@scopely.dev,Kentucky,1
125,Skyler,Rodriguez,skyler.rodriguez1605@example.com,Washington,1
126,Rowan,Wilson,rowan.wilson8857@example.com,Ohio,1
127,Morgan,Rodriguez,morgan.rodriguez1529@mail.com,Minnesota,1
128,Rowan,Wilson,rowan.wilson2725@playverse.net,Tennessee,1
129,Elliot,Davis,elliot.davis7957@playverse.net,South Dakota,0
130,Rowan,Hernandez,rowan.hernandez3503@playverse.net,Ohio,1
131,Alex,Anderson,alex.anderson961@mail.com,California,1
132,Morgan,Jones,morgan.jones6210@example.com,Minnesota,1
133,Riley,Wilson,riley.wilson6397@gamehub.io,South Dakota,1
134,Morgan,Miller,morgan.miller7455@gamehub.io,North Dakota,1
135,Drew,Lopez,drew.lopez6931@scopely.dev,Nevada,0
136,Alex,Rodriguez,alex.rodriguez7974@mail.com,Washington,1
137,Skyler,Williams,skyler.williams3112@gamehub.io,Alabama,1
138,Drew,Brown,drew.brown3567@example.com,Alabama,0
139,Drew,Johnson,drew.johnson9490@scopely.dev,South Dakota,1
140,Elliot,Rodriguez,elliot.rodriguez999@gamehub.io,Arizona,1
141,Cameron,Miller,cameron.miller937@example.com,Kentucky,1
142,Jordan,Garcia,jordan.garcia9572@playverse.net,Texas,1
143,Alex,Jones,alex.jones8239@scopely.dev,Ohio,0
144,Drew,Lopez,drew.lopez2580@example.com,Ohio,1
145,Jordan,Miller,jordan.miller8321@example.com,Ohio,1
146,Jordan,Williams,jordan.williams3045@example.com,Kentucky,1
147,Alex,Jones,alex.jones9750@example.com,Missouri,0
148,Cameron,Johnson,cameron.johnson3854@playverse.net,Ohio,1
149,Casey,Jones,casey.jones1965@scopely.dev,Kansas,1
150,Avery,Miller,avery.miller4034@scopely.dev,Oklahoma,1
151,Riley,Anderson,riley.anderson9741@example.com,Kentucky,1
152,Avery,Hernandez,avery.hernandez1344@playverse.net,Arkansas,1
153,Morgan,Martinez,morgan.martinez9563@scopely.dev,Delaware,0
154,Skyler,Hernandez,skyler.hernandez8566@gamehub.io,Maine,1
155,Riley,Miller,riley.miller4273@mail.com,Tennessee,1
156,Morgan,Rodriguez,morgan.rodriguez5148@mail.com,Maryland,0
157,Drew,Williams,drew.williams4352@playverse.net,Arkansas,1
158,Skyler,Davis,skyler.davis2145@gamehub.io,Delaware,1
159,Sam,Jones,sam.jones7492@gamehub.io,Nevada,0
160,Alex,Miller,alex.miller1189@example.com,Delaware,1
161,Riley,Smith,riley.smith7509@scopely.dev,Arkansas,0
162,Riley,Smith,riley.smith9225@example.com,Ohio,1
163,Quinn,Brown,quinn.brown1201@scopely.dev,Ohio,1
164,Drew,Jones,drew.jones3493@scopely.dev,South Dakota,1
165,Casey,Gonzalez,casey.gonzalez4346@mail.com,South Dakota,1
166,Jordan,Martinez,jordan.martinez5719@example.com,Louisiana,1
167,Skyler,Williams,skyler.williams4003@gamehub.io,Ohio,1
168,Drew,Garcia,drew.garcia4670@mail.com,New Mexico,1
169,Jamie,Williams,jamie.williams7180@scopely.dev,Alaska,1
170,Cameron,Jones,cameron.jones4957@scopely.dev,Louisiana,1
171,Jordan,Hernandez,jordan.hernandez8667@example.com,Arizona,0
172,Alex,Gonzalez,alex.gonzalez9087@gamehub.io,Arkansas,1
173,Jordan,Anderson,jordan.anderson1698@mail.com,Arizona,1
174,Casey,Smith,casey.smith4334@example.com,Washington,1
175,Elliot,Williams,elliot.williams1754@scopely.dev,South Dakota,1
176,Quinn,Miller,quinn.miller2547@gamehub.io,Maryland,1
177,Jordan,Williams,jordan.williams4617@scopely.dev,Georgia,1
178,Alex,Jones,alex.jones3451@gamehub.io,Arkansas,0
179,Casey,Miller,casey.miller3336@gamehub.io,Maryland,0
180,Avery,Gonzalez,avery.gonzalez8281@playverse.net,New York,1
181,Riley,Johnson,riley.johnson4115@example.com,Oklahoma,1
182,Elliot,Williams,elliot.williams1513@playverse.net,Arizona,1
183,Quinn,Brown,quinn.brown4534@example.com,Maryland,1
184,Riley,Jones,riley.jones59@gamehub.io,Washington,1
185,Cameron,Lopez,cameron.lopez2144@gamehub.io,Arkansas,0
186,Morgan,Rodriguez,morgan.rodriguez2648@playverse.net,Louisiana,1
187,Elliot,Rodriguez,elliot.rodriguez9039@playverse.net,Idaho,1
188,Elliot,Brown,elliot.brown9190@example.com,Arkansas,0
189,Avery,Wilson,avery.wilson1833@example.com,South Dakota,0
190,Avery,Rodriguez,avery.rodriguez2443@scopely.dev,Ohio,1
191,Skyler,Brown,skyler.brown591@gamehub.io,Maine,1
192,Rowan,Johnson,rowan.johnson9544@scopely.dev,Louisiana,1
193,Jordan,Martinez,jordan.martinez2427@playverse.net,South Carolina,1
194,Elliot,Smith,elliot.smith2089@example.com,Arkansas,1
195,Riley,Miller,riley.miller5051@gamehub.io,Arkansas,1
196,Alex,Brown,alex.brown654@gamehub.io,Tennessee,1
197,Taylor,Lopez,taylor.lopez3442@mail.com,South Carolina,0
198,Rowan,Davis,rowan.davis1685@gamehub.io,Ohio,1
199,Taylor,Davis,taylor.davis9174@playverse.net,Ohio,1
200,Quinn,Lopez,quinn.lopez2533@mail.com,Iowa,0
201,Casey,Davis,casey.davis2663@mail.com,Utah,0
202,Riley,Garcia,riley.garcia6756@example.com,Minnesota,1
203,Riley,Rodriguez,riley.rodriguez2939@gamehub.io,Illinois,1
204,Rowan,Wilson,rowan.wilson6746@mail.com,Louisiana,0
205,Elliot,Brown,elliot.brown4372@mail.com,Alabama,1
206,Cameron,Jones,cameron.jones1772@playverse.net,Georgia,1
207,Rowan,Brown,rowan.brown635@playverse.net,Delaware,1
208,Taylor,Jones,taylor.jones3645@mail.com,Arkansas,0
209,Rowan,Johnson,rowan.johnson7542@gamehub.io,Alaska,1
210,Riley,Jones,riley.jones5001@mail.com,Georgia,1
211,Cameron,Martinez,cameron.martinez3653@example.com,Arkansas,1
212,Jordan,Davis,jordan.davis3165@playverse.net,Arizona,1
213,Jamie,Rodriguez,jamie.rodriguez5379@gamehub.io,Arkansas,1
214,Skyler,Miller,skyler.miller1138@gamehub.io,Delaware,0
215,Sam,Miller,sam.miller5754@scopely.dev,Maryland,1
216,Avery,Wilson,avery.wilson6549@scopely.dev,New Mexico,1
217,Rowan,Garcia,rowan.garcia5426@example.com,Kentucky,1
218,Quinn,Johnson,quinn.johnson1890@gamehub.io,Arkansas,1
219,Morgan,Martinez,morgan.martinez2926@scopely.dev,Utah,1
220,Casey,Lopez,casey.lopez4350@example.com,Mississippi,1
221,Jamie,Hernandez,jamie.hernandez1777@scopely.dev,Ohio,1
222,Skyler,Martinez,skyler.martinez7120@gamehub.io,Ohio,1
223,Skyler,Gonzalez,skyler.gonzalez5140@playverse.net,Indiana,1
224,Skyler,Rodriguez,skyler.rodriguez9933@scopely.dev,New Hampshire,1
225,Skyler,Wilson,skyler.wilson1895@playverse.net,New York,1
226,Taylor,Jones,taylor.jones9447@mail.com,Louisiana,1
227,Quinn,Garcia,quinn.garcia4174@example.com,Ohio,1
228,Quinn,Smith,quinn.smith7145@example.com,Ohio,1
229,Cameron,Jones,cameron.jones8519@scopely.dev,Louisiana,1
230,Avery,Garcia,avery.garcia3229@gamehub.io,Alabama,1
231,Riley,Martinez,riley.martinez7067@example.com,Louisiana,1
232,Skyler,Hernandez,skyler.hernandez5410@scopely.dev,Arkansas,0
233,Morgan,Johnson,morgan.johnson5144@example.com,California,1
234,Riley,Miller,riley.miller4921@scopely.dev,Louisiana,1
235,Quinn,Wilson,quinn.wilson5068@playverse.net,Delaware,1
236,Alex,Brown,alex.brown5345@playverse.net,Utah,1
237,Alex,Jones,alex.jones4845@scopely.dev,Ohio,1
238,Morgan,Williams,morgan.williams2086@mail.com,Mississippi,1
239,Cameron,Jones,cameron.jones6889@playverse.net,Alabama,1
240,Quinn,Lopez,quinn.lopez2852@scopely.dev,Arkansas,1
241,Morgan,Brown,morgan.brown9325@gamehub.io,Ohio,1
242,Taylor,Lopez,taylor.lopez6654@scopely.dev,Louisiana,1
243,Rowan,Wilson,rowan.wilson7@gamehub.io,Arizona,0
244,Morgan,Martinez,morgan.martinez4701@mail.com,South Carolina,1
245,Jordan,Garcia,jordan.garcia7044@scopely.dev,Kansas,1
246,Riley,Johnson,riley.johnson9940@gamehub.io,Louisiana,1
247,Jamie,Williams,jamie.williams7619@playverse.net,Washington,1
248,Drew,Lopez,drew.lopez7245@mail.com,Alabama,0
249,Cameron,Anderson,cameron.anderson8376@playverse.net,Ohio,1
250,Morgan,Martinez,morgan.martinez2781@example.com,Washington,1
251,Quinn,Smith,quinn.smith4650@scopely.dev,Arkansas,1
252,Casey,Miller,casey.miller5492@example.com,South Dakota,1
253,Alex,Rodriguez,alex.rodriguez3849@gamehub.io,Maryland,0
254,Jordan,Johnson,jordan.johnson3681@mail.com,South Dakota,1
255,Avery,Miller,avery.miller2415@example.com,Kansas,1
256,Skyler,Anderson,skyler.anderson758@mail.com,West Virginia,1
257,Drew,Williams,drew.williams7785@scopely.dev,Ohio,1
258,Elliot,Jones,elliot.jones1194@playverse.net,Ohio,1
259,Cameron,Garcia,cameron.garcia6791@scopely.dev,Pennsylvania,1
260,Jamie,Davis,jamie.davis3186@playverse.net,Maryland,1
261,Drew,Brown,drew.brown8100@playverse.net,Georgia,1
262,Morgan,Johnson,morgan.johnson3998@mail.com,Hawaii,0
263,Taylor,Williams,taylor.williams91@example.com,Kentucky,1
264,Alex,Davis,alex.davis6966@mail.com,North Dakota,1
265,Quinn,Miller,quinn.miller2882@scopely.dev,South Dakota,1
266,Alex,Garcia,alex.garcia7612@example.com,Minnesota,1
267,Avery,Jones,avery.jones9133@mail.com,Louisiana,1
268,Taylor,Hernandez,taylor.hernandez1989@playverse.net,Oklahoma,1
269,Skyler,Jones,skyler.jones2185@playverse.net,Indiana,1
270,Quinn,Smith,quinn.smith8703@scopely.dev,Ohio,1
271,Riley,Wilson,riley.wilson9756@gamehub.io,Arkansas,1
272,Sam,Garcia,sam.garcia7252@scopely.dev,Arkansas,1
273,Jordan,Gonzalez,jordan.gonzalez8271@playverse.net,Ohio,1
274,Alex,Rodriguez,alex.rodriguez8977@playverse.net,Arkansas,1
275,Casey,Davis,casey.davis2608@playverse.net,California,1
276,Alex,Lopez,alex.lopez7374@gamehub.io,Ohio,1
277,Drew,Martinez,drew.martinez4051@gamehub.io,Maryland,1
278,Alex,Anderson,alex.anderson8541@playverse.net,New Hampshire,0
279,Cameron,Smith,cameron.smith3920@gamehub.io,Washington,1
280,Alex,Hernandez,alex.hernandez7207@example.com,Ohio,1
281,Sam,Gonzalez,sam.gonzalez4682@mail.com,New Mexico,0
282,Sam,Garcia,sam.garcia4452@gamehub.io,Louisiana,1
283,Skyler,Williams,skyler.williams5239@scopely.dev,Ohio,0
284,Jamie,Garcia,jamie.garcia1321@mail.com,Alabama,1
285,Riley,Rodriguez,riley.rodriguez2472@mail.com,Nevada,1
286,Casey,Garcia,casey.garcia6276@mail.com,Arkansas,0
287,Alex,Anderson,alex.anderson3506@example.com,Florida,1
288,Alex,Davis,alex.davis6798@playverse.net,New Jersey,0
289,Jordan,Wilson,jordan.wilson5422@scopely.dev,Ohio,1
290,Quinn,Anderson,quinn.anderson7634@playverse.net,Louisiana,1
291,Sam,Garcia,sam.garcia1021@mail.com,Maryland,0
292,Casey,Garcia,casey.garcia6884@playverse.net,Minnesota,0
293,Skyler,Anderson,skyler.anderson9570@example.com,Ohio,0
294,Avery,Miller,avery.miller9433@playverse.net,Alabama,1
295,Jamie,Hernandez,jamie.hernandez7815@example.com,Massachusetts,1
296,Riley,Gonzalez,riley.gonzalez5764@gamehub.io,Alabama,1
297,Taylor,Martinez,taylor.martinez6390@playverse.net,Kentucky,1
298,Riley,Hernandez,riley.hernandez8819@scopely.dev,Mississippi,1
299,Cameron,Brown,cameron.brown9884@mail.com,Arkansas,1
300,Drew,Gonzalez,drew.gonzalez8000@mail.com,Massachusetts,1
301,Cameron,Gonzalez,cameron.gonzalez4472@playverse.net,Texas,1
302,Alex,Davis,alex.davis7957@example.com,Ohio,1
303,Elliot,Anderson,elliot.anderson6372@gamehub.io,Ohio,1
304,Jamie,Brown,jamie.brown6625@mail.com,New Mexico,1
305,Drew,Anderson,drew.anderson7658@mail.com,South Dakota,1
306,Casey,Miller,casey.miller8752@example.com,Arkansas,1
307,Taylor,Smith,taylor.smith6456@scopely.dev,Massachusetts,1
308,Sam,Lopez,sam.lopez9247@example.com,New York,1
309,Jamie,Rodriguez,jamie.rodriguez1376@playverse.net,South Dakota,1
310,Jamie,Martinez,jamie.martinez2224@playverse.net,Kansas,1
311,Cameron,Rodriguez,cameron.rodriguez2978@example.com,Alabama,1
312,Elliot,Miller,elliot.miller4263@playverse.net,Washington,1
313,Alex,Davis,alex.davis5364@mail.com,Alaska,1
314,Morgan,Johnson,morgan.johnson7450@gamehub.io,California,0
315,Skyler,Martinez,skyler.martinez5530@playverse.net,Maryland,1
316,Cameron,Wilson,cameron.wilson4559@playverse.net,Minnesota,1
317,Jamie,Wilson,jamie.wilson4134@example.com,South Dakota,0
318,Rowan,Lopez,rowan.lopez7706@example.com,Massachusetts,1
319,Jordan,Anderson,jordan.anderson8838@example.com,Nevada,1
320,Taylor,Martinez,taylor.martinez5734@mail.com,Delaware,1
321,Skyler,Miller,skyler.miller1125@example.com,New Jersey,0
322,Cameron,Smith,cameron.smith509@mail.com,Louisiana,0
323,Taylor,Williams,taylor.williams3267@example.com,Arkansas,0
324,Jordan,Garcia,jordan.garcia2497@mail.com,Washington,1
325,Avery,Jones,avery.jones2069@playverse.net,Arkansas,1
326,Jordan,Jones,jordan.jones1875@scopely.dev,Ohio,1
327,Elliot,Rodriguez,elliot.rodriguez3572@playverse.net,Tennessee,1
328,Jordan,Garcia,jordan.garcia4199@gamehub.io,Delaware,1
329,Taylor,Williams,taylor.williams2750@scopely.dev,Georgia,1
330,Riley,Anderson,riley.anderson9950@example.com,Maryland,1
331,Taylor,Johnson,taylor.johnson2684@gamehub.io,Iowa,1
332,Morgan,Wilson,morgan.wilson1772@scopely.dev,Ohio,1
333,Alex,Rodriguez,alex.rodriguez421@gamehub.io,Kentucky,1
334,Drew,Anderson,drew.anderson9434@playverse.net,West Virginia,1
335,Riley,Martinez,riley.martinez6499@mail.com,South Dakota,0
336,Sam,Wilson,sam.wilson1246@scopely.dev,South Dakota,0
337,Drew,Brown,drew.brown3979@example.com,Arkansas,1
338,Alex,Hernandez,alex.hernandez4942@scopely.dev,Delaware,1
339,Cameron,Jones,cameron.jones1984@scopely.dev,Delaware,1
340,Skyler,Rodriguez,skyler.rodriguez673@gamehub.io,Ohio,1
341,Morgan,Jones,morgan.jones8729@playverse.net,Alabama,1
342,Morgan,Miller,morgan.miller6072@example.com,Pennsylvania,0
343,Sam,Johnson,sam.johnson8290@gamehub.io,Nevada,1
344,Riley,Johnson,riley.johnson208@playverse.net,New Jersey,0
345,Elliot,Brown,elliot.brown8032@example.com,Nebraska,1
346,Quinn,Davis,quinn.davis7103@gamehub.io,Nebraska,0
347,Avery,Johnson,avery.johnson7533@mail.com,Delaware,1
348,Jordan,Martinez,jordan.martinez7136@mail.com,Indiana,1
349,Riley,Miller,riley.miller8549@gamehub.io,Michigan,1
350,Skyler,Gonzalez,skyler.gonzalez8818@playverse.net,Ohio,0
351,Avery,Gonzalez,avery.gonzalez7617@playverse.net,Idaho,1
352,Morgan,Smith,morgan.smith9708@gamehub.io,Pennsylvania,1
353,Taylor,Rodriguez,taylor.rodriguez5281@mail.com,Rhode Island,1
354,Skyler,Martinez,skyler.martinez1420@gamehub.io,Idaho,1
355,Alex,Garcia,alex.garcia7386@mail.com,New Hampshire,1
356,Sam,Hernandez,sam.hernandez7614@scopely.dev,Louisiana,1
357,Alex,Smith,alex.smith6210@gamehub.io,Delaware,0
358,Quinn,Martinez,quinn.martinez471@playverse.net,Pennsylvania,0
359,Skyler,Garcia,skyler.garcia5326@mail.com,West Virginia,1
360,Casey,Wilson,casey.wilson7989@mail.com,New Jersey,1
361,Casey,Jones,casey.jones5814@gamehub.io,Tennessee,1
362,Cameron,Wilson,cameron.wilson5577@gamehub.io,Ohio,0
363,Riley,Lopez,riley.lopez9768@gamehub.io,New Jersey,1
364,Morgan,Jones,morgan.jones9107@example.com,Massachusetts,0
365,Morgan,Jones,morgan.jones8465@mail.com,Georgia,0
366,Jordan,Brown,jordan.brown1403@mail.com,Arkansas,1
367,Jordan,Miller,jordan.miller6659@playverse.net,Massachusetts,1
368,Jordan,Anderson,jordan.anderson9097@mail.com,New Hampshire,1
369,Taylor,Gonzalez,taylor.gonzalez7801@playverse.net,Mississippi,1
370,Drew,Rodriguez,drew.rodriguez7343@example.com,Ohio,1
371,Jamie,Gonzalez,jamie.gonzalez1525@gamehub.io,Delaware,0
372,Drew,Brown,drew.brown3631@playverse.net,Louisiana,1
373,Alex,Johnson,alex.johnson3987@gamehub.io,Maryland,0
374,Drew,Johnson,drew.johnson9529@gamehub.io,Delaware,1
375,Taylor,Johnson,taylor.johnson7754@scopely.dev,Tennessee,0
376,Cameron,Miller,cameron.miller8699@gamehub.io,Ohio,1
377,Alex,Brown,alex.brown6972@scopely.dev,Arkansas,1
378,Drew,Brown,drew.brown5420@gamehub.io,Ohio,1
379,Taylor,Smith,taylor.smith7435@gamehub.io,Nevada,1
380,Jamie,Brown,jamie.brown5024@gamehub.io,Mississippi,1
381,Drew,Garcia,drew.garcia3778@example.com,West Virginia,1
382,Taylor,Johnson,taylor.johnson3156@gamehub.io,Ohio,0
383,Quinn,Brown,quinn.brown1959@scopely.dev,South Dakota,1
384,Jordan,Hernandez,jordan.hernandez3034@mail.com,Tennessee,1
385,Quinn,Miller,quinn.miller3546@playverse.net,Arkansas,0
386,Morgan,Gonzalez,morgan.gonzalez4531@scopely.dev,Alabama,1
387,Jordan,Rodriguez,jordan.rodriguez8596@scopely.dev,Maryland,1
388,Morgan,Johnson,morgan.johnson4637@example.com,Ohio,1
389,Rowan,Davis,rowan.davis3181@gamehub.io,South Carolina,1
390,Sam,Wilson,sam.wilson3728@gamehub.io,Ohio,1
391,Quinn,Garcia,quinn.garcia2940@gamehub.io,Massachusetts,1
392,Sam,Davis,sam.davis232@scopely.dev,Ohio,1
393,Sam,Johnson,sam.johnson2074@gamehub.io,Ohio,1
394,Jamie,Wilson,jamie.wilson746@example.com,Kansas,1
395,Jordan,Hernandez,jordan.hernandez9067@gamehub.io,Delaware,1
396,Rowan,Smith,rowan.smith2069@playverse.net,Ohio,1
397,Morgan,Miller,morgan.miller1681@example.com,Ohio,1
398,Taylor,Gonzalez,taylor.gonzalez9406@gamehub.io,New Jersey,1
399,Alex,Rodriguez,alex.rodriguez7691@playverse.net,Delaware,1
400,Taylor,Rodriguez,taylor.rodriguez7217@gamehub.io,Idaho,1
401,Alex,Anderson,alex.anderson3021@example.com,Ohio,0
402,Quinn,Johnson,quinn.johnson4137@playverse.net,Washington,1
403,Casey,Brown,casey.brown1870@example.com,Vermont,1
404,Taylor,Gonzalez,taylor.gonzalez6566@playverse.net,Mississippi,0
405,Drew,Smith,drew.smith1214@scopely.dev,South Dakota,1
406,Drew,Hernandez,drew.hernandez879@mail.com,Alaska,1
407,Riley,Miller,riley.miller2445@scopely.dev,South Dakota,1
408,Jordan,Johnson,jordan.johnson4979@example.com,Massachusetts,1
